ident;iata_code;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality
HLMB;LMQ;Marsa Brega Airport;30.37809944152832;19.576400756835938;50;AF;LY;LY-WA;
HLNR;NFR;Nafurah 1 Airport;29.2132;21.5924;125;AF;LY;LY-WA;Nafurah 1
HLON;HUQ;Hon Airport;29.1101;15.9656;919;AF;LY;LY-JU;
HLTD;LTD;Ghadames East Airport;30.15169906616211;9.715310096740723;1122;AF;LY;LY-NL;Ghadames
HLTQ;TOB;Gamal Abdel Nasser Airport;31.861;23.907;519;AF;LY;LY-BU;Tobruk
HLZN;ZIS;Alzintan Airport;31.774878;12.25006;2080;AF;LY;LY-JG;Zintan
HLZW;WAX;Zwara Airport;32.952301;12.0155;9;AF;LY;LY-NQ;Zuwara
HN-MUG;EDQ;Erandique Airport;14.235833;-88.437225;4199;NA;HN;HN-LE;Erandique
HOO;HOO;Nhon Co Airfield;11.9787;107.5638;2270;AS;VN;VN-CH;Đăk R'Lấp
HRC;HRC;Sary Su Airport;48.3974;70.1915;1307;AS;KZ;KZ-KAR;Zhayrem
HRYG;GYI;Gisenyi Airport;-1.6771999597549438;29.258899688720703;5082;AF;RW;RW-04;Gisenyi
HRYI;BTQ;Butare Airport;-2.595829963684082;29.7367000579834;5801;AF;RW;RW-05;Butare
HRYR;KGL;Kigali International Airport;-1.96863;30.1395;4859;AF;RW;RW-01;Kigali
HRYU;RHG;Ruhengeri Airport;-1.496873;29.631343;6102;AF;RW;RW-03;Ruhengeri
HRZA;KME;Kamembe Airport;-2.462239980697632;28.907899856567383;5192;AF;RW;RW-04;Kamembe
HSAT;ATB;Atbara Airport;17.710344314575195;34.0570182800293;1181;AF;SD;SD-04;Atbara
HSDB;EDB;El Debba Airport;18.0146;30.9595;843;AF;SD;SD-01;El Debba
HSDN;DOG;Dongola Airport;19.153900146499996;30.430099487299998;772;AF;SD;SD-01;Dongola
HSDZ;RSS;Damazin Airport;11.7859;34.3367;1582;AF;SD;SD-24;Ad Damazin
HSFS;ELF;El Fasher Airport;13.614899635314941;25.324600219726562;2393;AF;SD;SD-02;El Fasher
HSGG;DNX;Galegu Airport;12.532999992370605;35.06700134277344;1640;AF;SD;SD-25;Dinder
HSGN;EGN;Geneina Airport;13.481882;22.467119;2651;AF;SD;SD-12;Geneina
HSHG;HEG;Heglig Airport;9.994933;29.397718;1325;AF;SD;SD-13;Heglig Oilfield
HSJ;HSJ;Zhengzhou Shangjie Airport;34.842153;113.273983;450;AS;CN;CN-41;Zhengzhou
